date,year,short,teamnum
2005-11-27,2005,VAN,25
2005-11-27,2005,CHI,23
2005-11-27,2005,PIT,24
2005-11-27,2005,BUF,24
2005-11-28,2005,FLA,25
2005-11-28,2005,LAK,25
2005-11-28,2005,TOR,25
2005-11-28,2005,DET,26
2005-11-29,2005,ATL,25
2005-11-29,2005,EDM,26
2005-11-29,2005,NJD,23
2005-11-29,2005,NSH,22
2005-11-29,2005,NYI,25
2005-11-29,2005,OTT,22
2005-11-29,2005,PIT,25
2005-11-29,2005,CAR,24
2005-11-29,2005,COL,25
2005-11-29,2005,BOS,26
2005-11-29,2005,CGY,26
2005-11-29,2005,PHI,23
2005-11-29,2005,MTL,25
2005-11-29,2005,BUF,25
2005-11-30,2005,CHI,24
2005-11-30,2005,DAL,24
2005-11-30,2005,MDA,26
2005-11-30,2005,MIN,23
2005-11-30,2005,PHI,24
2005-11-30,2005,TBL,27
2005-11-30,2005,VAN,26
2005-11-30,2005,LAK,26
2005-11-30,2005,SJS,24
2005-11-30,2005,PHX,27
2005-11-30,2005,CBJ,25
2005-11-30,2005,NJD,24
2005-11-30,2005,TOR,26
2005-11-30,2005,COL,26
2005-12-01,2005,ATL,26
2005-12-01,2005,BOS,27
2005-12-01,2005,DET,27
2005-12-01,2005,EDM,27
2005-12-01,2005,FLA,26
2005-12-01,2005,MTL,26
2005-12-01,2005,NSH,23
2005-12-01,2005,NYR,27
2005-12-01,2005,STL,23
2005-12-01,2005,TOR,27
2005-12-01,2005,OTT,23
2005-12-01,2005,CGY,27
2005-12-01,2005,VAN,27
2005-12-01,2005,WSH,25
2005-12-01,2005,BUF,26
2005-12-01,2005,MIN,24
2005-12-01,2005,PIT,26
2005-12-01,2005,CBJ,26
2005-12-02,2005,BUF,27
2005-12-02,2005,DAL,25
2005-12-02,2005,OTT,24
2005-12-02,2005,TBL,28
2005-12-02,2005,SJS,25
2005-12-02,2005,CAR,25
2005-12-02,2005,LAK,27
2005-12-02,2005,CHI,25
2005-12-03,2005,EDM,28
2005-12-03,2005,FLA,27
2005-12-03,2005,MDA,27
2005-12-03,2005,MTL,27
2005-12-03,2005,NJD,25
2005-12-03,2005,NSH,24
2005-12-03,2005,PHX,28
2005-12-03,2005,PIT,27
2005-12-03,2005,TOR,28
2005-12-03,2005,WSH,26
2005-12-03,2005,BOS,28
2005-12-03,2005,CHI,26
2005-12-03,2005,ATL,27
2005-12-03,2005,LAK,28
2005-12-03,2005,MIN,25
2005-12-03,2005,PHI,25
2005-12-03,2005,CAR,26
2005-12-03,2005,CGY,28
2005-12-03,2005,SJS,26
2005-12-03,2005,NYR,28
2005-12-04,2005,COL,27
2005-12-04,2005,DET,28
2005-12-04,2005,VAN,28
2005-12-04,2005,BUF,28
2005-12-04,2005,NYI,26
2005-12-04,2005,BOS,29
2005-12-05,2005,FLA,28
2005-12-05,2005,NYR,29
2005-12-05,2005,PHX,29
2005-12-05,2005,OTT,25
2005-12-05,2005,MIN,26
2005-12-05,2005,ATL,28
2005-12-06,2005,DET,29
2005-12-06,2005,MDA,28
2005-12-06,2005,PHI,26
2005-12-06,2005,SJS,27
2005-12-06,2005,STL,24
2005-12-06,2005,TOR,29
2005-12-06,2005,NJD,26
2005-12-06,2005,CAR,27
2005-12-06,2005,CGY,29
2005-12-06,2005,ATL,29
2005-12-06,2005,NYI,27
2005-12-06,2005,LAK,29
2005-12-07,2005,CHI,27
2005-12-07,2005,COL,28
2005-12-07,2005,DAL,26
2005-12-07,2005,NJD,27
2005-12-07,2005,WSH,27
2005-12-07,2005,NYR,30
2005-12-07,2005,BOS,30
2005-12-07,2005,FLA,29
2005-12-07,2005,CGY,30
2005-12-07,2005,NSH,25
2005-12-08,2005,BUF,29
2005-12-08,2005,CBJ,27
2005-12-08,2005,LAK,30
2005-12-08,2005,NSH,26
2005-12-08,2005,PHI,27
2005-12-08,2005,PIT,28
2005-12-08,2005,SJS,28
2005-12-08,2005,TBL,29
2005-12-08,2005,MDA,29
2005-12-08,2005,NYI,28
2005-12-08,2005,CAR,28
2005-12-08,2005,NYR,31
2005-12-08,2005,EDM,29
2005-12-08,2005,MIN,27
2005-12-08,2005,FLA,30
2005-12-08,2005,STL,25
2005-12-09,2005,ATL,30
2005-12-09,2005,NJD,28
2005-12-09,2005,VAN,29
2005-12-09,2005,WSH,28
2005-12-09,2005,CBJ,28
2005-12-09,2005,COL,29
2005-12-09,2005,OTT,26
2005-12-09,2005,DET,30
2005-12-10,2005,CGY,31
2005-12-10,2005,LAK,31
2005-12-10,2005,MTL,28
2005-12-10,2005,NYI,29
2005-12-10,2005,PHI,28
2005-12-10,2005,PIT,29
2005-12-10,2005,SJS,29
2005-12-10,2005,STL,26
2005-12-10,2005,TBL,30
2005-12-10,2005,TOR,30
2005-12-10,2005,OTT,27
2005-12-10,2005,FLA,31
2005-12-10,2005,MDA,30
2005-12-10,2005,EDM,30
2005-12-10,2005,MIN,28
2005-12-10,2005,COL,30
2005-12-10,2005,CAR,29
2005-12-10,2005,NYR,32
2005-12-10,2005,NSH,27
2005-12-10,2005,DAL,27
2005-12-11,2005,ATL,31
2005-12-11,2005,BOS,31
2005-12-11,2005,CBJ,29
2005-12-11,2005,MIN,29
2005-12-11,2005,CHI,28
